Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
"SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)",437,https://amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW,4.4 out of 5 stars,"2,723",B07ZC77WTW,420 g,Sfane,BG - 05,1.00 count,N/A,N/A
Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,879,https://amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,4.2 out of 5 stars,312,B097KGL2M5,560 g,Gear,BKPWRPHYD0101,1 count,Hybrid Briefcase Backpack,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements."
Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey),549,https://amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK,4.1 out of 5 stars,"1,733",B08Y3L4PHK,‎449 g,"‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528",‎Laptop Backpack,1 Count,Casual Laptop Backpack,"1 x Roomy Main Compartment. Keep daily stuff like clothes, folder, books, magazines, power bank etc.1 x Front Side Pocket with zipper. Keep books, magazines, notebooks, wallet, Ipad etc.1 x Front Pocket with zipper. Keep Phone, pencil, keys, cards, and some other small items.1 x Laptop Compartment. Fit for laptop up to 15.6 inch.1 x Side Pocket. Keep for water bottle, cups, tumbler, umbrella etc.Handle: Sturdy handle and adjustable shoulder straps"
Lenovo 15.6-inch Casual Laptop Briefcase T210,799,https://amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5,4.2 out of 5 stars,"19,480",B075Y6Y9H5,340 g,"Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560156",GX40Q17229,1 U,Backpack,N/A
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569,https://amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD,4.0 out of 5 stars,314,B0BS6QM2GD,1 kg,SHABA BAGS,DB01,1.00 count,N/A,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes"
"WILD MODA Women's Shoulder Bag, Set of 1",849,https://amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,4.2 out of 5 stars,"3,805",B099PLT91X,400 g,WILD MODA,WMWB0516,1.00 Unit,Shoulder Bag,N/A
"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",259,https://amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7,4.0 out of 5 stars,396,B09TPHFMX7,306 g,"Vikrant Extrusion , Daman",SSTB1,1 count,Storage Bag,N/A
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),599,https://amazon.in/Half-Moon-Waterproof-Backpack-Grey/dp/B09688CSCZ,3.9 out of 5 stars,"1,294",B09688CSCZ,390 g,Half_Moon (AB Amazing Bags),bag for menं,N/A,school bag,"Half Moon backpack is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside), school bag(there is very large space inside the bag that can be used to carry numerous books), travel backpack(the volume of this backpack is 35 litres and that is enough for travelling), laptop bag(as it contains a laptop sleeve). It is navy in colour so that it will not become dirty easily it has padded straps to make it easy to carry. It is fully waterproof to protect your laptop, books etc from water and rain. The material used in this bag is dust-free so, that it can produce your backpack from dust. It has a rain cover which is very useful in the rainy season to protect your backpack from rain. It can be used everywhere as well as by everyone be it menं , womenं , boys and girls."
"Storite Pack of 2 Heavy Duty Canvas Grocery Shopping Bags with Reinforced Handles (40x20x33-cm, Green)",528,https://amazon.in/Storite-Grocery-Shopping-Reinforced-40x20x33-cm/dp/B079T66RBW,4.3 out of 5 stars,"2,140",B079T66RBW,N/A,N/A,N/A,N/A,N/A,
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),225,https://amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9,3.7 out of 5 stars,"3,097",B07QD1M3R9,300 g,Rushi Enterprise,SF-BAG-P-HATHI-1,1.00 count,Kids Bag,DZert Provide Premium quality bags which are non-toxic and made up of soft velvet because our priority is to provide best and high-quality bags/ backpack to your kids.
POLICE Polyester 35 Ltr Laptop Big Low Spec Laptop Backpack - Black/Navy,"1,569",https://amazon.in/Police-Polyester-Laptop-Spec-Backpack/dp/B07ZB8NWTZ,3.3 out of 5 stars,202,B07ZB8NWTZ,560 g,Torero Corporation Pvt Ltd,PTO022671_5-5,1 Count,Backpack,N/A
F Gear String 11 Ltrs Nylon Black Gym Bag,189,https://amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,4.0 out of 5 stars,505,B07PC28YQ9,100 g,Uber Fashion Merchandise Pvt. Ltd.,Uber007,1 count,Drawstring Gym Bag,The product will be an excellent pick for you. It ensures an easy maintenance.
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),512,https://amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,4.0 out of 5 stars,"5,741",B09CV24TMK,‎449 g,"‎Texcoco Enterprices, 9958166528, ?Texcoco Enterprices, 9958166528",‎BEN-BC-BLACK,1 count,Laptop Bag,N/A
ASTRID Blue Diamond Textured Cotton Tote Bag,599,https://amazon.in/ASTRID-Blue-Diamond-Textured-Cotton/dp/B08W5DQ33D,4.3 out of 5 stars,130,B08W5DQ33D,540 g,SAAV TEX PVT LTD,ASTD0163,1.00 count,N/A,N/A
"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",512,https://amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR,3.9 out of 5 stars,573,B09WZKHSDR,‎459 g,"‎Texcoco Enterprises, 9958166528, Texcoco Enterprises, 9958166528",‎ben_cas_grey,1 Count,Laptop Backpack,N/A
"WILD MODA Women's Shoulder Bag, Set of 1",849,https://amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,4.2 out of 5 stars,"3,805",B099PLT91X,N/A,N/A,N/A,N/A,N/A,
ASTRID Women's Round Sling Bag with Pompoms (Brown),499,https://amazon.in/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK,4.4 out of 5 stars,429,B08VS8JBNK,340 g,SAAV TEX PVT LTD,ASTD0280,1.00 count,N/A,N/A
"Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",319,https://amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT,4.4 out of 5 stars,640,B099ZZ57FT,N/A,N/A,N/A,N/A,N/A,"Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 25 Bags)"
"Nivia 5227 Pulse Junior Bag, Others (Orange) (Sky Blue)",294,https://amazon.in/Nivia-5227-Pulse-Junior-Others/dp/B08D7QG33Z,3.7 out of 5 stars,180,B08D7QG33Z,N/A,N/A,N/A,N/A,N/A,
Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase for Men/Women with RainCover (Grey),"1,795",https://amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67,4.4 out of 5 stars,932,B097KDRZ67,1 kg,N/A,TLPTURBO00401,N/A,N/A,N/A
Gear Turbo 45L Expandable Water Resistant Antitheft Laptop Bag/Backpack/Briefcase for Men/Women with RainCover (Grey),"1,795",https://amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67,4.4 out of 5 stars,932,B097KDRZ67,1 kg,N/A,TLPTURBO00401,N/A,N/A,N/A
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),549,https://amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW,3.9 out of 5 stars,"7,494",B088B4P6ZW,350 g,Martucci,N/A,1.00 count,N/A,N/A
"PAZZO Alto 40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty",849,https://amazon.in/PAZZO-Alto-40L-Casual-Backpack/dp/B07VT3F795,4.0 out of 5 stars,"1,737",B07VT3F795,400 g,PAZZO,Alto,N/A,N/A,N/A
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Teal),499,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964,3.9 out of 5 stars,801,B09TPVD964,530 g,ADISA,BP041,1.00 count,Laptop backpack,N/A
Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"1,797",https://amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES,4.3 out of 5 stars,"3,289",B012D4QWES,520 g,Wildcraft,8.90E+12,N/A,N/A,The durable Peza workpack is designed for travel enthusiasts. It perfectly organizes your belongings and comes with a specially designed padded back system for enhanced carrying comfort. Laptop Compatible: Fits up to 15.4 laptop ; Quick-access side mesh pocket ; Ventex back system allows ventilation and better airflow.
"Half Moon Curiosity 35L Water Resistant 15.6"" Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Slim Durable Backpack",749,https://amazon.in/Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1,3.8 out of 5 stars,177,B09S3ZK3N1,670 g,Half_Moon(Amazing Bags),Curiosity,N/A,laptop bag for menं,N/A
"Palay Waist Bag For Unisex With Adjustable Strap, Waterproof Fanny Pack Stylish Chest Bag Bum Bag With 4-Zipper Pockets For Travel Party Festival Running Hiking",584,https://amazon.in/PALAY%C2%AE-Shoulder-4-Zipper-Pockets-Adjustable/dp/B08SWGFBNT,4.4 out of 5 stars,308,B08SWGFBNT,139 g,N/A,N/A,1.00 count,N/A,N/A
"WILD MODA Women's Shoulder Bag, Set of 1",849,https://amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X,4.2 out of 5 stars,"3,805",B099PLT91X,400 g,WILD MODA,WMWB0516,1.00 Unit,Shoulder Bag,N/A
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),N/A,https://amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK,4.2 out of 5 stars,"1,624",B0895ZZHKK,‎385 g,"‎ASUS, Shanghai Korrun Bag & Luggage Production Co. , Lt d",‎BP1504,1 Count,Laptop Backpack,N/A
F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),"1,149",https://amazon.in/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5,4.4 out of 5 stars,239,B071XJ6XV5,790 g,Uber Fashion Merchandise Pvt. Ltd.,Uber01026,1 count,Laptop Backpack,"If you have loads to carry around your search ends here. Here comes a bag which has three huge compartments. Designed keeping in mind the school children with loads of books apart from lunch boxes, water bottles and projects. This bag fits all. A very sturdy and strong bag comes with two bottle pouches and a stationery organizer. Laptop compartment also present. It can also be used as an overnight or a travel backpack for a few days. Comes with the F Gear promise of quality."
Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),"1,549",https://amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5,4.4 out of 5 stars,"1,943",B07FC4D9B5,480 g,Wildcraft,STREAK PLUS,N/A,Laptop Backpack,"Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby."
"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",549,https://amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53,3.8 out of 5 stars,"1,899",B077WSKG53,280 g,Vivinkaa,part-1,1.00 count,N/A,"Vivinkaa is a young and vivacious brand full of energy and fun that is committed towards offering a wide range of high quality unique products with finest craftsmanship and best price to ensure a awesome buying experience. This bag will catch all the attention and will lead to a perfect finishing touch to your look. This is a very fashionable bag which you can carry with you everyday. It will complement all types of outfit and has ample space to carry all your essentials. Also good for your casual outing and shopping. This bag is a ethnic cotton printed stylish sling bag with pu trims, fringes & tassels."
"Palay Waist Bag For Unisex With Adjustable Strap, Waterproof Fanny Pack Stylish Chest Bag Bum Bag With 4-Zipper Pockets For Travel Party Festival Running Hiking",584,https://amazon.in/PALAY%C2%AE-Shoulder-4-Zipper-Pockets-Adjustable/dp/B08SWGFBNT,4.4 out of 5 stars,308,B08SWGFBNT,139 g,N/A,N/A,1.00 count,N/A,N/A
"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",549,https://amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53,3.8 out of 5 stars,"1,899",B077WSKG53,280 g,Vivinkaa,part-1,1.00 count,N/A,"Vivinkaa is a young and vivacious brand full of energy and fun that is committed towards offering a wide range of high quality unique products with finest craftsmanship and best price to ensure a awesome buying experience. This bag will catch all the attention and will lead to a perfect finishing touch to your look. This is a very fashionable bag which you can carry with you everyday. It will complement all types of outfit and has ample space to carry all your essentials. Also good for your casual outing and shopping. This bag is a ethnic cotton printed stylish sling bag with pu trims, fringes & tassels."
"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",579,https://amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B,3.9 out of 5 stars,"17,556",B07PQQ8M7B,480 g,Scale Polestar Pvt. Ltd.,PS_NOBLE,1.00 count,Casual Laptop Bags,N/A
"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag,office bag for Men and Women | College Bags for Girls & Boys (Zyden)",649,https://amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5,3.7 out of 5 stars,"1,128",B09VCHV6T5,700 g,N/A,zyden-1,N/A,N/A,N/A
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,970,https://amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P,4.4 out of 5 stars,"3,237",B07G4HH78P,600 g,Gear Merchandise PVT LTD,LBPVG2LTH0501,1 count,Bag,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements."
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),499,https://amazon.in/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W,3.9 out of 5 stars,801,B09TPY1G1W,530 g,ADISA,BP041,1.00 count,Laptop backpack,N/A
Impulse rucksack bags 75 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty,"1,244",https://amazon.in/Impulse-rucksack-75-backpack-trekking/dp/B09T9XDQ99,4.0 out of 5 stars,364,B09T9XDQ99,900 g,N/A,Banyan 75 Blue,1.00 count,N/A,"Impulse travel bags for men backpack is like Anti-Gravity suspension - feels like you are carrying less weight than is in your mountain bag. These travel backpacks for men have Adjustable harness and Fit-on-the-Fly hipbelt to dial in perfect fit. Impulse traveling bags for men and women comes with Front stretch mesh pocket for quick storage of rain gear or extra layers. trekking bags for men removable floating top lid with dual zippered pockets and web attachment points are extremely useful. Designed keeping in mind the all Customers & Weather conditions, our products are suitable for all age groups. . The backpack's internal mesh pocket compartment is easier to store and combine.One day and multi-day tours with lightweight to normal loads, Comfort and optimal microclimate are decisive factors for the activity. When going outdoors, the most unexpected thing is the weather. Waterproofing is very essential especially when you are going to visit wet places like lakes and areas near water bodies."
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Nevy Blue,600,https://amazon.in/DZert-Girls-Polyester-White-Backpack/dp/B07H1BPCGQ,3.8 out of 5 stars,"2,401",B07H1BPCGQ,290 g,Rushi Enterprise,CLASY-WHT-BLK-RD,1 Count,School Backpack,N/A
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,299,https://amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY,3.8 out of 5 stars,"2,401",B07GXYHFCY,290 g,Rushi Enterprise,CLASY-WHT-BLK-RD,1 Count,School Backpack,N/A
TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),585,https://amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML,3.8 out of 5 stars,"1,779",B09H7PK5ML,620 g,1,N/A,N/A,N/A,N/A
"POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",599,https://amazon.in/POLESTAR-backpack-Backpack-College-Students/dp/B08X2KRL8B,4.1 out of 5 stars,"3,485",B08X2KRL8B,580 g,POLESTAR,PS_LEADER_NAVYGRY,1.00 count,School Backpack,N/A
"American Tourister Zork Polyester 2 Compartment Laptop Unisex Backpack (Black,Frsz)","3,970",https://amazon.in/American-Tourister-Polyester-Compartment-Backpack/dp/B0BV75WFJP,3.0 out of 5 stars,2,B0BV75WFJP,990 g,American Tourister,AY1*09007,1.00 count,N/A,Zork Polyester 2 Compartment Laptop Unisex Backpack
Okami ZenPack UNO Minimal Laptop Messenger Bag X Briefcase,"1,999",https://amazon.in/Okami-ZenPack-Minimal-Messenger-Briefcase/dp/B0BVZT69JN,4.3 out of 5 stars,18,B0BVZT69JN,1 kg 100 g,Okami Wolf INTL Pvt. Ltd.,N/A,N/A,N/A,N/A
"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey",413,https://amazon.in/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ,4.3 out of 5 stars,117,B09WVRKYCJ,‎194 g,‎Gizga,‎G91,1 count,Travel Toiletry Kit Bag,N/A
TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,"2,332",https://amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM,4.4 out of 5 stars,"7,201",B0847PGZZM,0.6 g,TRAWOC,HK007,1.00 count,Travel Backpack,"The TRAWOC 80L backpack is perfect for any adventure! This unisex travelling bag is designed for trekking, hiking, and camping, with a premium padded shoulder strap and mesh padding for maximum comfort. The padded back panel ensures breathability during extended wear. This backpack features a premium buckle and YKK zipper for added durability, making it the perfect mountain bag or camping rucksack. The front opening provides easy access to your gear, and the integrated rain cover keeps your belongings dry during inclement weather. This large backpack is suitable for men, women, boys, and girls, and can be used as a biker backpack or riding backpack. It has a Luggage/suitcase-type opening, which makes packing and unpacking a breeze. The back padding ensures that it's comfortable to wear for long periods of time, making it perfect for touring or flight travel. The TRAWOC backpack is perfect for daypack use, with excess storage capacity and weight-bearing capacity too. It's available in a variety of colors and sizes, making it suitable for any adventure or occasion. The 1-year warranty ensures that you'll be able to enjoy your backpack for years to come. Whether you're a tourist, tourister, or outdoor enthusiast, this big bag is perfect for you. It's a must-have for anyone who loves adventure and wants to travel in style and comfort. So, get your TRAWOC backpack today and start your next adventure!"
CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,499,https://amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX,3.8 out of 5 stars,"3,029",B084T7X2HX,420 g,N/A,N/A,N/A,N/A,"Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc"
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",499,https://amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,4.2 out of 5 stars,786,B09TDNZ88Z,250 g,We Make Memories,SM-06,1.00 Bag,N/A,N/A
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,559,https://amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57,3.8 out of 5 stars,"2,401",B07H193V57,290 g,Rushi Enterprise,CLASY-WHT-BLK-RD,1 Count,School Backpack,N/A
"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,960",https://amazon.in/Harissons-Vervo-Laptop-Backpack-Built/dp/B07M5P5LW3,4.3 out of 5 stars,"1,976",B07M5P5LW3,1 kg 100 g,Harissons,HB1123BLACK,N/A,N/A,N/A
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,420",https://amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384,4.2 out of 5 stars,"2,231",B078JVT384,750 g,Cosmus,40051011046,1.00 count,N/A,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+"
WILDHORN Laptop Backpack for Men/Women I Waterproof I Travel/Business/College Bookbags Fit 15.6 Inch Laptop,899,https://amazon.in/WILDHORN-Backpack-Compartment-Business-College/dp/B09Q63JWCH,4.0 out of 5 stars,129,B09Q63JWCH,450 g,WildHorn,WHBP-003,1.00 count,Laptop Backpack,N/A
"Safari Seek 32 Ltrs Overnighter Travel Laptop Backpack (Black), Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure","1,949",https://amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6,4.3 out of 5 stars,176,B097JMR4M6,920 g,Safari,SEEK35L21OBBLK,1 Count,BACKPACK,"Seek 32L is a compact offering from Safari's overnighter laptop backpack ranges. Equipped with a unique offering of luggage-like opening (or book opening), this bag is perfect to meet ALL your travel needs - Work or Adventure Leisure! Made out of water-resistant fabric & front panel design, it serves as a highly elegant look. On the inside, cross packing straps are provided to help organise your packing. With a 17"" laptop and a tablet compatibility compartment Seek 32 has a total capacity of 32 liters, provided with compression straps and breathable back mesh that prevents the back of the backpack from overheating. Go ahead and add this friendly Seek overnighter backpack to your travel collection, whether it be for a short business trip or a weekend getaway!"
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),425,https://amazon.in/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX,3.8 out of 5 stars,"1,446",B07BNS3KNX,300 g,Rushi Enterprise,SF-BAG-P-HATHI-1,1.00 count,Kids Bag,DZert Provide Premium quality bags which are non-toxic and made up of soft velvet because our priority is to provide best and high-quality bags/ backpack to your kids.
"Foldable Travel Duffel Bag,Sport Totes,Shoulder Shopping Bag,Luggage Bag,2 Pack (Pink+Blue)",399,https://amazon.in/Foldable-Travel-Shoulder-Shopping-Luggage/dp/B07VCRL9H3,3.8 out of 5 stars,495,B07VCRL9H3,281 g,DEMON CHEST,N/A,N/A,N/A,♛ 
F Gear Burner Art Lthr Black 22 Ltrs Laptop Backpack (3344),978,https://amazon.in/F-Gear-Burner-Art-Black-Laptop-Backpack/dp/B085QX7J7R,4.2 out of 5 stars,457,B085QX7J7R,740 g,Uber Fashion Merchandise Pvt. Ltd.,3344,1 count,Laptop Backpack,"Sleek and compact design, Spacious and apt capacity, World’s best Japanese brand- YKK Zippers and sliders, Fabric – Premium Art Leather, soft touch, water-resistant, highly resistant to stains and is easy to clean, 2-main zippered compartments, Formal looking official theme, Ergonomic design & comfortable thick padding on the back panel minimizes load stress, Unisex design S-curve backstrap made from high density EPE foam padding (23 density), Premium Business Laptop Backpack, Quilted bottom design to protect your gear. I-pad/ tablet compartment on the front, front pocket for your passport or other small daily accessories, Inside organizer, Inside laptop sleeve suitable for laptop up to 17 inches, Reliable high-density polyester webbing, 2 side stash pocket made from premium, sturdy, anti-tear bottle net fabric, Elastic with long life retention of stretchable ability property, Adjustable straps, Ideal Office/ Business bag, Also suitable for Travel, All the above features make this backpack your most desirable office bag. So, hurry and don’t miss out on this backpack."
COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,"1,261",https://amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,4.2 out of 5 stars,"1,390",B09HX54TGF,N/A,N/A,N/A,N/A,N/A,
Wooum Anti Theft Laptop Bag - Backpack For Laptop and Tablet of 15.6 Inch Thick Padded Compartment - Light Weight - Water Resistance – Anti Theft (Black),474,https://amazon.in/Wooum-Anti-Theft-Laptop-Bag/dp/B0BYP7SJ4Q,4.8 out of 5 stars,7,B0BYP7SJ4Q,450 g,Wooum,1873,1.00 count,N/A,N/A
